               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12914,            0.053126,             0.03069,             0.87686,                   0,                   0,                   0,                   0,             0.12769,            0.056629,            0.030668,             0.81713,             0.00015,             0.00015,             0.09865
                   1,              0.1108,            0.053637,            0.028214,             0.69443,                   0,                   0,                   0,                   0,             0.11021,            0.065454,            0.028475,             0.63425,             0.00031,             0.00031,             0.09721
                   2,            0.098991,            0.062557,            0.026108,             0.57942,                   0,                   0,                   0,                   0,             0.10302,            0.072236,            0.027012,             0.52419,             0.00047,             0.00047,             0.09577
                   3,            0.094074,            0.061522,             0.02541,             0.49958,            0.016532,            0.067132,            0.008792,           0.0021417,            0.099821,             0.07037,            0.026082,             0.45127,          0.00062999,          0.00062999,             0.09433
                   0,             0.12915,             0.05312,            0.030693,             0.87687,                   0,                   0,                   0,                   0,             0.12774,            0.056267,            0.030753,             0.81692,             0.00015,             0.00015,             0.09865
                   1,             0.11086,            0.053573,            0.028206,             0.69449,                   0,                   0,                   0,                   0,             0.11028,            0.066261,            0.027885,             0.63358,             0.00031,             0.00031,             0.09721
                   2,            0.099009,            0.062508,            0.026107,             0.57951,                   0,                   0,                   0,                   0,             0.10269,            0.072239,            0.026914,             0.52374,             0.00047,             0.00047,             0.09577
                   3,            0.094214,            0.061481,            0.025393,             0.49966,           0.0098545,             0.03938,           0.0054026,           0.0014097,             0.10041,            0.070248,            0.026254,             0.45087,          0.00062999,          0.00062999,             0.09433
                   4,             0.09367,            0.057303,            0.024707,             0.44531,           0.0076406,             0.08338,           0.0042954,          0.00085103,             0.10506,            0.065793,            0.025694,             0.40795,          0.00078998,          0.00078998,             0.09289
                   5,            0.094513,            0.054828,            0.024313,             0.40281,            0.021367,             0.21402,            0.012093,           0.0024832,              0.1046,            0.059861,            0.025251,             0.37055,          0.00094995,          0.00094995,             0.09145
                   6,            0.095983,            0.050089,            0.023953,             0.36116,             0.03648,             0.16589,            0.017308,           0.0033486,             0.10511,            0.053989,            0.024703,             0.32896,           0.0011099,           0.0011099,             0.09001
                   7,            0.097086,            0.044237,             0.02336,             0.31597,            0.018479,             0.19327,            0.011647,           0.0024529,             0.10541,            0.048406,            0.024642,             0.28603,           0.0012699,           0.0012699,             0.08857
                   8,            0.096568,            0.041494,            0.022687,             0.27329,            0.048412,               0.112,            0.031917,           0.0063187,             0.10721,            0.044894,             0.02421,              0.2503,           0.0014298,           0.0014298,             0.08713
                   9,            0.097362,            0.036221,            0.021347,             0.24034,             0.66409,               0.184,             0.10975,            0.023516,            0.094795,            0.044092,             0.02133,             0.22186,           0.0015897,           0.0015897,             0.08569
                  10,            0.098572,             0.03369,            0.019808,             0.21705,            0.052608,             0.29426,            0.042549,           0.0095322,             0.10792,            0.039434,            0.020227,             0.20853,           0.0017497,           0.0017497,             0.08425
                  11,            0.099637,             0.03463,            0.018643,             0.20644,             0.60787,             0.17056,            0.086548,            0.018459,              0.1096,            0.037673,            0.019198,             0.20086,           0.0019095,           0.0019095,             0.08281
                  12,             0.10666,            0.030884,            0.017223,             0.20117,             0.70039,               0.252,             0.21413,            0.048105,             0.10694,            0.036217,            0.017984,             0.19766,           0.0020694,           0.0020694,            0.081369
                  13,             0.10408,            0.031993,            0.016269,             0.19927,             0.67512,                 0.3,             0.21764,            0.059602,            0.095868,            0.039191,            0.016505,             0.19638,           0.0022293,           0.0022293,            0.079929
                  14,             0.10552,            0.029486,            0.014493,             0.19778,             0.14706,             0.37051,              0.1192,            0.030423,             0.11112,            0.034342,             0.01571,             0.19606,           0.0023891,           0.0023891,            0.078489
                  15,             0.10627,            0.029378,            0.013729,             0.19713,             0.23627,             0.37101,             0.16399,            0.041937,              0.1129,            0.032375,            0.015593,             0.19628,           0.0025489,           0.0025489,            0.077049
                  16,             0.10624,            0.028598,            0.013002,             0.19674,             0.17932,             0.34301,             0.13608,            0.035073,             0.11156,             0.03302,             0.01378,             0.19539,           0.0027086,           0.0027086,            0.075609
                  17,             0.10307,            0.030143,            0.012064,             0.19605,             0.20442,             0.38102,             0.21109,            0.060216,             0.10636,            0.037564,            0.013418,             0.19579,           0.0028684,           0.0028684,            0.074168
                  18,             0.10667,            0.026942,            0.011446,             0.19527,             0.25549,             0.36599,             0.23034,            0.071991,             0.10749,            0.034179,            0.013116,             0.19496,           0.0030281,           0.0030281,            0.072728
                  19,             0.10547,            0.028735,            0.010804,              0.1953,             0.46423,             0.29558,             0.22837,            0.074826,             0.10759,            0.035303,            0.012807,             0.19468,           0.0031877,           0.0031877,            0.071288
                  20,             0.10667,            0.028011,            0.010374,             0.19516,             0.20805,             0.29889,             0.15455,            0.040018,             0.10336,            0.035582,            0.012045,             0.19376,           0.0033474,           0.0033474,            0.069847
                  21,             0.10562,            0.028401,            0.010103,             0.19427,             0.23937,             0.38651,             0.21309,            0.057856,             0.10814,            0.033037,             0.01229,             0.19377,           0.0035069,           0.0035069,            0.068407
                  22,             0.10658,            0.027163,           0.0094171,             0.19407,                0.27,             0.41014,             0.26163,            0.077586,             0.10509,            0.034778,             0.01125,             0.19372,           0.0036665,           0.0036665,            0.066966
                  23,              0.1061,            0.027308,           0.0091203,             0.19328,             0.34397,             0.31138,             0.23294,            0.061907,             0.10791,            0.031644,            0.010872,             0.19291,            0.003826,            0.003826,            0.065526
                  24,             0.10595,            0.027523,           0.0087587,             0.19281,             0.19514,              0.3861,              0.1853,            0.055125,             0.11123,            0.029964,            0.010673,             0.19123,           0.0039855,           0.0039855,            0.064085
                  25,             0.10688,            0.026971,           0.0086583,             0.19285,             0.20054,             0.37814,             0.18795,             0.06317,             0.11288,            0.030683,            0.011027,             0.19214,           0.0041449,           0.0041449,            0.062645
                  26,             0.10685,            0.026782,           0.0084901,             0.19229,             0.20917,             0.29926,             0.15821,            0.054403,             0.11567,            0.028728,            0.011072,             0.19031,           0.0043043,           0.0043043,            0.061204
                  27,             0.10535,            0.027394,           0.0088467,             0.19202,             0.24938,              0.4649,             0.30813,             0.10505,             0.10683,            0.031486,            0.010122,             0.19072,           0.0044636,           0.0044636,            0.059764
                  28,             0.10459,            0.026092,           0.0081222,              0.1911,             0.31276,             0.34127,             0.20303,            0.050999,             0.10726,            0.031234,            0.010779,             0.18887,           0.0046228,           0.0046228,            0.058323
                  29,             0.10284,            0.028758,           0.0081912,             0.19139,             0.24493,             0.39789,             0.27421,            0.086061,             0.10377,            0.032227,           0.0096014,             0.18848,           0.0047821,           0.0047821,            0.056882
                  30,             0.10248,            0.026323,           0.0078192,             0.19099,             0.27568,             0.41389,             0.29595,            0.081998,             0.10596,            0.032206,            0.010503,             0.18847,           0.0049412,           0.0049412,            0.055441
                  31,              0.1156,            0.021893,           0.0077416,             0.19067,             0.74994,                0.22,             0.21074,            0.069152,             0.12011,            0.025409,            0.010023,             0.18859,           0.0051003,           0.0051003,               0.054
                  32,              0.1184,            0.021623,           0.0076454,             0.19026,             0.63282,               0.228,             0.12457,            0.036778,             0.11975,            0.024829,           0.0096385,             0.18718,           0.0052594,           0.0052594,            0.052559
                  33,             0.12152,            0.019802,           0.0080276,             0.18909,             0.36108,              0.2056,             0.22718,            0.080336,             0.12872,            0.019808,           0.0091232,             0.18715,           0.0054183,           0.0054183,            0.051118
                  34,             0.12304,            0.018869,           0.0073565,             0.18855,             0.16387,             0.32338,             0.14994,            0.049638,             0.12419,            0.020691,           0.0091078,             0.18681,           0.0055773,           0.0055773,            0.049677
                  35,             0.11811,            0.020449,           0.0078321,             0.18848,             0.22775,             0.51616,             0.20519,            0.050562,             0.10775,            0.031339,           0.0096856,             0.18622,           0.0057361,           0.0057361,            0.048236
